Brand,Price,Ton,BEE_rating,Avg_Rating,Reviews,Rated_reviews,Type,Inverter,Convertible,Condenser Coil,Power Consumption,Noise level,Refrigerant,Ambient Temperature,WiFi Enabled,Warranty
Voltas,37999,1.5,5,4.1,"1,405",138,Split,Yes,No,Copper,1450,46,R32,52,No,1 Year Warranty on Product and 5 Years on Compressor
Whirlpool,36490,1.5,5,4,"4,598",524,Split,Yes,Yes,Copper,1325,35,R32,Not Available,No,Not Available
Voltas,32399,1.5,3,4.1,715,64,Split,Yes,No,Copper,1675,47,R32,52,No,1 Year Warranty on Product and 10 Years on Compressor
Lg,36499,1.5,3,4,"3,175",350,Split,Yes,Yes,Copper,962,26,R32,Not Available,No,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Whirlpool,32990,1.5,3,4,"4,598",524,Split,Yes,Yes,Copper,1570,37,R32,Not Available,No,Not Available
Blue Star,29990,1.2,3,4.2,"2,725",307,Split,Yes,Yes,Copper,1500,33,R32,Not Available,No,1 Year on Product and 10 Years Warranty on Compressor
Whirlpool,31999,1.5,3,4.1,"7,689",848,Split,No,No,Copper,1410,36,R32,48,No,Not Available
Samsung,33490,1.5,3,4.2,"24,029","2,445",Split,Yes,No,Copper,1700,45,R32,52,No,1 Year Standard Warranty on Product and 10 Years on Compressor
Carrier,37490,1.5,4,4.3,"9,189","1,128",Split,Yes,Yes,Copper,974,37,R32,52,No,"1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor"
Panasonic,36990,1.5,3,4.3,"9,607","1,169",Split,Yes,No,Copper,1770,48,R32,Not Available,Yes,"1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor"
Samsung,39999,1.5,5,4.2,"24,029","2,445",Split,Yes,No,Copper,832,49,R32,Not Available,No,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung
Lg,44499,1.5,5,4.2,"6,975",734,Split,Yes,Yes,Copper,818,31,R32,52,No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
Realme Techlife,28999,1.5,4,4,"1,154",200,Split,Yes,Yes,Copper,968,43,R32,55,No,1 Year Warranty on Product and 10 Years on Compressor
Lloyd,30999,1.2,3,4.1,250,29,Split,Yes,No,Copper,918,32,R32,52,No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor
Carrier,37490,1.2,5,4.3,"9,189","1,128",Split,Yes,Yes,Copper,1050,32,R32,52,No,"1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor"
Voltas,32999,1.5,3,4.2,44,5,Split,Yes,No,Copper,1685,46,Not Available,Not Available,No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor
Daikin,25999,0.8,3,4.1,766,84,Split,No,No,Copper,709,43,R32,50,No,1 Year Warranty on Product and 5 Years on Compressor
Panasonic,25999,1.5,3,4.2,409,66,Window,No,No,Copper,858,54,Not Available,46,No,1 Year on Product and 5 Years Compressor From Panasonic.
